Number of Bus, MW Limit:	 14	100.00
  lambdak_m	  lambdak_M	 lambda_k_m	 lambda_k_M	     mu_k_M	     mu_k_m
0.00000	0.00000	0.00001	0.00002	348.89088	0.00001
0.00000	0.00000	0.00000	0.00001	0.00005	0.00001
42807.70286	50001.17059	0.00001	0.00001	0.00001	0.00001
43159.39500	49856.42711	46128.14944	46189.59976	0.00002	0.00001
43372.65349	49724.65525	46101.75614	46216.61668	0.00002	0.00001
43327.64005	49757.34902	0.00001	0.00001	556.96607	0.00001
43024.22913	49687.49303	46157.35932	46161.65867	0.00010	0.00001
123525.36746	130188.63147	0.00002	0.00001	12.13430	0.00001
43127.89866	49771.44545	46172.49050	46151.53323	34.71101	0.00001
43170.10090	49813.93643	46159.58995	46164.61098	0.00008	0.00001
43196.54770	49757.07552	46153.55511	46171.24320	0.00007	0.00001
43251.08653	49793.90009	126548.55158	126610.05357	0.00005	0.00001
43243.62667	49830.88257	46122.38426	46194.19405	0.00004	0.00001
43038.35815	49794.48991	46133.68407	46199.98538	0.00003	0.00001
N/W Mat Eig	Dual Mat Eig
-0.00000	0.00000
-0.00000	0.00000
0.00015	0.00000
0.00015	0.00000
19.30402	0.00000
19.30402	0.00000
194.30954	0.00000
194.30954	0.00000
7907.24596	0.00000
7907.24596	0.00000
15929.20196	0.00000
15929.20196	0.00000
22279.00147	0.00000
22279.00147	0.00000
27798.29795	0.00000
27798.29795	0.00000
33561.27268	0.00000
33561.27268	0.00000
46322.39025	0.00000
46322.39025	0.00000
63777.71448	0.00000
63777.71448	0.00000
69113.27822	0.00000
69113.27822	0.00000
95007.20608	0.00301
95007.20608	0.00301
117414.39072	7.61855
117414.39072	7.61855
 Iterations: 25
  Tolerance:0.0000000
Dual Optval:8965.55086518
  Min Eigen:-0.00000003
        Binding Const. Upper Voltage Limit at Bus:	  6
                  Bus Voltage Components
1st Eig	2nd Eig	3rd Eig	4th Eig
-1.065	-1.065	-0.601	-0.601
-1.046	-1.046	-0.590	-0.590
-0.996	-0.996	-0.564	-0.564
-1.009	-1.009	-0.571	-0.571
-1.014	-1.014	-0.569	-0.569
-1.036	-1.036	0.894	0.894
-1.043	-1.043	-1.707	-1.707
-1.049	-1.049	-1.718	-1.718
-1.031	-1.031	0.954	0.954
-1.023	-1.023	0.938	0.938
-1.025	-1.025	0.913	0.913
-1.020	-1.020	0.895	0.895
-1.014	-1.014	0.894	0.894
-1.002	-1.002	0.921	0.921
0.000	0.000	0.000	0.000
0.056	0.056	0.031	0.031
0.193	0.193	0.106	0.106
0.154	0.154	0.083	0.083
0.129	0.129	0.075	0.075
0.226	0.226	0.569	0.569
0.214	0.214	-2.232	-2.232
0.216	0.216	-2.246	-2.246
0.245	0.245	0.540	0.540
0.245	0.245	0.537	0.537
0.236	0.236	0.549	0.549
0.236	0.236	0.549	0.549
0.238	0.238	0.544	0.544
0.255	0.255	0.516	0.516
                  Bus Voltage Magnitudes
1st Eig	2nd Eig	3rd Eig	4th Eig
1.065	1.065	0.601	0.601
1.048	1.048	0.591	0.591
1.015	1.015	0.573	0.573
1.020	1.020	0.577	0.577
1.022	1.022	0.574	0.574
1.060	1.060	1.060	1.060
1.065	1.065	2.810	2.810
1.071	1.071	2.828	2.828
1.060	1.060	1.096	1.096
1.052	1.052	1.081	1.081
1.051	1.051	1.066	1.066
1.047	1.047	1.050	1.050
1.042	1.042	1.047	1.047
1.034	1.034	1.056	1.056
                   Real Power Injections
1st Eig	2nd Eig	3rd Eig	4th Eig
1.647	1.647	0.523	0.523
0.798	0.798	0.253	0.253
-0.951	-0.951	-0.301	-0.301
-0.503	-0.503	-6.380	-6.380
-0.086	-0.086	1.384	1.384
-0.107	-0.107	-1.312	-1.312
0.043	0.043	-4.062	-4.062
-0.000	-0.000	-0.001	-0.001
-0.321	-0.321	10.361	10.361
-0.090	-0.090	-0.084	-0.084
-0.035	-0.035	-0.026	-0.026
-0.061	-0.061	-0.067	-0.067
-0.135	-0.135	-0.128	-0.128
-0.149	-0.149	-0.152	-0.152
               Reactive Power Injections
1st Eig	2nd Eig	3rd Eig	4th Eig
0.042	0.042	0.022	0.022
0.035	0.035	0.010	0.010
0.080	0.080	0.027	0.027
0.011	0.011	-0.568	-0.568
0.002	0.002	3.395	3.395
-0.040	-0.040	6.389	6.389
0.123	0.123	131.143	131.143
0.041	0.041	0.283	0.283
-0.111	-0.111	39.846	39.846
-0.058	-0.058	-0.070	-0.070
-0.018	-0.018	-0.023	-0.023
-0.016	-0.016	-0.010	-0.010
-0.058	-0.058	-0.062	-0.062
-0.050	-0.050	-0.055	-0.055
                          Real Power LMP
1st Eig	2nd Eig	3rd Eig	4th Eig
34.172	34.172	24.503	24.503
70.752	70.752	43.523	43.523
71.935	71.935	71.935	71.935
66.970	66.970	66.970	66.970
63.520	63.520	63.520	63.520
64.297	64.297	64.297	64.297
66.633	66.633	66.633	66.633
66.633	66.633	66.633	66.633
66.435	66.435	66.435	66.435
66.438	66.438	66.438	66.438
65.605	65.605	65.605	65.605
65.428	65.428	65.428	65.428
65.873	65.873	65.873	65.873
67.561	67.561	67.561	67.561
                      Reactive Power LMP
1st Eig	2nd Eig	3rd Eig	4th Eig
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.615	0.615	0.615	0.615
1.149	1.149	1.149	1.149
-0.000	-0.000	-0.000	-0.000
0.043	0.043	0.043	0.043
-0.000	-0.000	-0.000	-0.000
-0.210	-0.210	-0.210	-0.210
0.050	0.050	0.050	0.050
0.177	0.177	0.177	0.177
0.615	0.615	0.615	0.615
0.718	0.718	0.718	0.718
0.663	0.663	0.663	0.663
                              Generation
1st Eig	2nd Eig	3rd Eig	4th Eig
1.647	1.647	0.523	0.523
1.015	1.015	0.470	0.470
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000
     Flows
From	 To	Line	 Lambda_lm	1st Eig	2nd Eig	3rd Eig	4th Eig
  1	  2	  1	4077.731	1.009	1.009	0.313	0.313
  1	  5	  2	0.000	0.638	0.638	0.210	0.210
